CLE;NATURE;NOM;SITUATION;GEOMETRIE;X_LONG;Y_LAT
16100;Aire piétonne;entre deux murs;;LINESTRING (-0.573002944520125 44.8417664260161, -0.572347430484256 44.8418188942411, -0.57204545194523 44.8418535059504, -0.572075300824688 44.8419857077114);-0,573002944520125;44,8417664260161
16217;Double sens;rue Sicard;pair;LINESTRING (-0.571424348060467 44.8515689654832, -0.571537305606337 44.8516200095752);-0,571424348060467;44,8515689654832
15847;Aire piétonne;;;LINESTRING (-0.578790023652294 44.8369665012603, -0.579070114888771 44.8369183263995, -0.580065748573867 44.8366050527508, -0.580751092993395 44.8364102624748);-0,578790023652294;44,8369665012603
16434;Double sens;rue Théodore Gardère;impair;LINESTRING (-0.582799045513465 44.827301309299, -0.582001152269327 44.8267446908328, -0.580666374930709 44.8264007120768);-0,582799045513465;44,827301309299
16132;Double sens;rue des Etuves;impair;LINESTRING (-0.576066342172215 44.8362678004906, -0.576024631101281 44.8360955261101, -0.575894780096103 44.8358861159858, -0.575781329151549 44.8354942276172, -0.575706185243346 44.8350198826934, -0.575697976366272 44.8349957288257);-0,576066342172215;44,8362678004906
16218;Double sens;rue Sicard;pair;LINESTRING (-0.571537305606337 44.8516200095752, -0.572008499495707 44.8518198838957);-0,571537305606337;44,8516200095752
15866;Double sens;baubadat;;LINESTRING (-0.577421211878072 44.8386161318312, -0.577616628820566 44.8398627391746);-0,577421211878072;44,8386161318312
15807;Double sens;st remi;;LINESTRING (-0.570671486470461 44.8414558628103, -0.57129308163337 44.8413975324452, -0.571981640301599 44.8413328629731, -0.572354154474472 44.8413066665695, -0.57287041123606 44.8412627141463, -0.573124870973801 44.8412397712754, -0.57358241493894 44.841202523446);-0,570671486470461;44,8414558628103
16083;Aire piétonne;stalingrad;;LINESTRING (-0.559205289285692 44.8406530352065, -0.56033931693836 44.8399562850919);-0,559205289285692;44,8406530352065
15795;Bande unilatérale;riviere;impair;LINESTRING (-0.589583023685335 44.8589720531227, -0.589108728185044 44.8576331818238, -0.589069887824486 44.8575403619481, -0.588837932770164 44.856998812045, -0.588757034735188 44.8566802239884, -0.588686879100228 44.8563917445733, -0.588618861817579 44.8560196926546, -0.588540715501854 44.8554423952725, -0.588534910425917 44.855241517563, -0.588521788980036 44.8548907055291, -0.588551499995573 44.8540525561858, -0.588560240550211 44.853971297808, -0.588611491430142 44.8539198671758, -0.588795092633854 44.8538604801822);-0,589583023685335;44,8589720531227
16098;Aire piétonne;vinet;;LINESTRING (-0.571339313022855 44.8391166897989, -0.571324041555493 44.8393053468438, -0.571272396090982 44.8395097384476, -0.571224204125126 44.8396248421373);-0,571339313022855;44,8391166897989
